,カウント　,X,Y,Z,ノルム,閾値1.5,連続消す,ジャーク,J閾値0.4,J閾値0.6,,,,,
1.5454E+12,68,-1.324,-0.388,0.224,1.953696,1,1,0.871824,1,1,0,,,,
1.5454E+12,69,-1.16,-0.224,0.012,1.39592,0,0,-0.557776,0,0,0,,,,
1.5454E+12,70,-1.16,-0.224,0.012,1.39592,0,0,0,0,0,0,,,,
1.5454E+12,71,-0.832,-0.284,-0.012,0.773024,0,0,-0.622896,0,0,0,,,,
1.5454E+12,72,-0.84,-0.24,-0.152,0.786304,0,0,0.01328,0,0,0,,,,
1.5454E+12,73,-0.764,-0.296,-0.284,0.751968,0,0,-0.034336,0,0,0,,,,
1.5454E+12,74,-1.168,-0.164,-0.236,1.446816,0,0,0.694848,1,1,0,,,,
1.5454E+12,75,-1.276,-0.628,0.012,2.022704,1,1,0.575888,1,0,0,,,,
1.5454E+12,76,-1.276,-0.628,0.012,2.022704,1,0,0,0,0,0,,,,
1.5454E+12,77,-0.756,-0.22,0.252,0.68344,0,0,-1.339264,0,0,0,,,,
1.5454E+12,78,-0.888,-0.024,0.024,0.789696,0,0,0.106256,0,0,0,,,,
1.5454E+12,79,-0.996,-0.06,-0.044,0.997552,0,0,0.207856,0,0,0,,,,
1.5454E+12,80,-0.876,-0.032,-0.068,0.773024,0,0,-0.224528,0,0,0,,,,
1.5454E+12,81,-1.008,-0.272,-0.048,1.092352,0,0,0.319328,0,0,0,,,,
1.5454E+12,82,-1.008,-0.272,-0.048,1.092352,0,0,0,0,0,0,,,,
1.5454E+12,83,-1.08,0.012,-0.196,1.20496,0,0,0.112608,0,0,0,,,,
1.5454E+12,84,-1.124,-0.012,0.468,1.482544,0,0,0.277584,0,0,0,,,,
1.5454E+12,85,-1.232,-0.044,0.02,1.52016,1,1,0.037616,0,0,0,,,,
1.5454E+12,86,-0.96,-0.12,-0.04,0.9376,0,0,-0.58256,0,0,0,,,,
1.5454E+12,87,-0.872,-0.116,-0.084,0.780896,0,0,-0.156704,0,0,0,,,,
1.5454E+12,88,-0.872,-0.116,-0.084,0.780896,0,0,0,0,0,0,,,,
1.5454E+12,89,-0.884,-0.168,-0.16,0.83528,0,0,0.054384,0,0,0,,,,
1.5454E+12,90,-1.024,-0.136,-0.032,1.068096,0,0,0.232816,0,0,0,,,,
1.5454E+12,91,-1.108,-0.22,-0.144,1.2968,0,0,0.228704,0,0,0,,,,
1.5454E+12,92,-0.732,-0.14,0.168,0.583648,0,0,-0.713152,0,0,0,,,,
1.5454E+12,93,-1.008,-0.188,0.068,1.056032,0,0,0.472384,1,0,0,,,,
1.5454E+12,94,-1.008,-0.188,0.068,1.056032,0,0,0,0,0,0,,,,
1.5454E+12,95,-0.948,-0.104,-0.02,0.90992,0,0,-0.146112,0,0,0,,,,
1.5454E+12,96,-0.972,-0.06,-0.036,0.94968,0,0,0.03976,0,0,0,,,,
1.5454E+12,97,-0.94,-0.164,-0.1,0.920496,0,0,-0.029184,0,0,0,,,,
1.5454E+12,98,-1,-0.08,-0.148,1.028304,0,0,0.107808,0,0,0,,,,
1.5454E+12,99,-1.348,-0.316,0.24,1.97456,1,1,0.946256,1,1,0,,,,
1.5454E+12,100,-1.348,-0.316,0.24,1.97456,1,0,0,0,0,0,,,,
1.5454E+12,101,-0.924,-0.092,-0.068,0.866864,0,0,-1.107696,0,0,0,,,,
1.5454E+12,102,-0.9,-0.408,0.06,0.980064,0,0,0.1132,0,0,0,,,,
1.5454E+12,103,-0.876,-0.308,-0.06,0.86584,0,0,-0.114224,0,0,0,,,,
